Fahrt;Ab;Nach;Via;Gleis/Kante/ Haltestelle
S 19 19937;10:19;Effretikon ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikon- Effretikon;34
S 24 20437;10:21;Zug ;Zürich HB- Zürich Wiedikon- Zürich Enge- Zürich Wollishofenâ€¢ Kilchberg- Rüschlikon- Thalwil- Horgen Oberdorf- Baar- Zug;4
S 15 19536;10:22;Niederweningen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Glattbruggâ€¢ Rümlang- Oberglatt- Dielsdorf- SchÃ¶fflisdorf-Oberweningen- Niederweningen Dorf- Niederweningen;41/42
S 5 18537;10:25;Pfäffikon SZ ;Zürich HB- Zürich Stadelhofen- Uster- Wetzikon- Bubikon- Rüti ZH- Jona- Rapperswil- Pfäffikon SZ;43/44
S 8 18836;10:25;Winterthur ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikon- Effretikon- Winterthur;33
S 10 24777;10:25;Zürich Triemli;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli;22-Zürich HB SZU
S 9 18937;10:28;Uster ;Zürich HB- Zürich Stadelhofen- Stettbach- Dübendorf- Schwerzenbach ZH- Nänikon-Greifensee- Uster;43/44
S 3 18336;10:29;Dietikon ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Schlieren- Glanzenberg- Dietikon;41/42
ICN 1516;10:30;Lausanne ;Zürich HB- Olten- Oensingen- Solothurn- Grenchen Süd- Biel/Bienne- NeuchÃ¢tel- Yverdon-les-Bains- Lausanne;31
S 6 18637;10:30;Uetikon ;Zürich HB- Zürich Stadelhofen- Zürich Tiefenbrunnen- Zollikonâ€¢ Küsnacht Goldbach- Küsnacht ZH- Erlenbach ZH- Winkel am Zürichsee- Meilen- Uetikon;43/44
S 6 18638;10:31;Baden ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Zürich Seebachâ€¢ Zürich Affoltern- Regensdorf-Watt- Buchs-Dällikon- Otelfingen Golfpark- Wettingen- Baden;41/42
IC 714;10:32;GenÃ¨ve-AÃ©roport ;Zürich HB- Bern- Fribourg/Freiburg- Lausanne- GenÃ¨ve- GenÃ¨ve-AÃ©roport;32
IC 711;10:33;St. Gallen ;Zürich HB- Zürich Flughafen- Winterthur- St. Gallen;34
S 3 18339;10:33;Wetzikon ;Zürich HB- Zürich Stadelhofen- Stettbach- Dietlikonâ€¢ Effretikon- Illnau- Fehraltorf- Pfäffikon ZH- Kempten- Wetzikon;43/44
IC 564;10:34;Basel SBB ;Zürich HB- Basel SBB;11
IC 280;10:35;Stuttgart Hbf ;Zürich HB- Schaffhausen- Singen (Hohentwiel)- Tuttlingen- Rottweil- Horb- BÃ¶blingen- Stuttgart Hbf;10
IR 2639;10:35;Luzern ;Zürich HB- Thalwil- Baar- Zug- Rotkreuz- Luzern;7
S 10 24779;10:35;Uetliberg;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zürich HB SZU
IR 1966;10:36;Basel SBB ;Zürich HB- Baden- Brugg AG- Frick- Stein-Säckingen- Rheinfelden- Basel SBB;18
IC 565;10:37;Chur ;Zürich HB- Sargans- Landquart- Chur;8
IR 2115;10:37;Konstanz ;Zürich HB- Zürich Flughafen- Winterthur- Frauenfeld- Weinfelden- Kreuzlingen- Konstanz;13
S 8 18839;10:37;Pfäffikon SZ ;Zürich HB- Zürich Wiedikon- Zürich Enge- Zürich Wollishofenâ€¢ Kilchberg- Rüschlikon- Thalwil- Wädenswil- Richterswil- Pfäffikon SZ;31
S 9 18938;10:37;Rafz ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Glattbruggâ€¢ Rümlang- Oberglatt- Bülach- Glattfelden- Eglisau- Rafz;41/42
RE 4816;10:38;Aarau ;Zürich HB- Lenzburg- Aarau;17
S 4 24479;10:38;Langnau-Gattikon;Zürich HB SZU- Zürich Selnau- Zürich Giesshübel- Zürich Saalsporthalleâ€¢ Zürich Brunau- Zürich Manegg- Zürich Leimbach- Sood-Oberleimbach- Adliswil- Langnau-Gattikon;21-Zürich HB SZU
ICN 1515;10:39;St. Gallen ;Zürich HB- Zürich Flughafen- Winterthur- Wil SG- Uzwil- Flawil- Gossau SG- St. Gallen;33
S 5 18538;10:39;Zug ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Urdorfâ€¢ Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis- Zug;41/42
S 15 19539;10:40;Rapperswil ;Zürich HB- Zürich Stadelhofen- Uster- Wetzikon- Bubikon- Rüti ZH- Jona- Rapperswil;43/44
RJ 165 OS 3518;10:40;Budapest-Keleti ;Zürich HB- Sargans- Buchs SG- Feldkirchâ€¢ Salzburg Hbf- Linz/Donau Hbf- Wien Meidling- Wien Hbf- Budapest-KelenfÃ¶ld- Budapest-Keleti;9
S 19 19938;10:41;Dietikon ;Zürich HB- Zürich Altstetten- Dietikon;32
S 7 18739;10:42;Rapperswil ;Zürich HB- Zürich Stadelhofen- Meilen- Uetikonâ€¢ Männedorf- Stäfa- Uerikon- Feldbach- Kempraten- Rapperswil;43/44
S 14 19439;10:42;Hinwil ;Zürich HB- Zürich Oerlikon- Wallisellen- Dübendorfâ€¢ Schwerzenbach ZH- Nänikon-Greifensee- Uster- Aathal- Wetzikon- Hinwil;34
S 25 20539;10:43;Linthal ;Zürich HB- Wädenswil- Pfäffikon SZ- Lachenâ€¢ Siebnen-Wangen- Ziegelbrücke- Nieder- und Oberurnen- Näfels-Mollis- Schwanden GL- Linthal;6
S 2 18238;10:44;Zürich Flughafen ;Zürich HB- Zürich Oerlikon- Zürich Flughafen;33
S 12 19238;10:44;Brugg AG ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Schlierenâ€¢ Glanzenberg- Dietikon- Wettingen- Baden- Turgi- Brugg AG;41/42
S 24 20438;10:44;Thayngen ;Zürich HB- Zürich Wipkingen- Zürich Oerlikon- Zürich Flughafenâ€¢ Effretikon- Winterthur- Neuhausen- Schaffhausen- Herblingen- Thayngen;5
S 16 19639;10:45;Herrliberg-Feldmeilen ;Zürich HB- Zürich Stadelhofen- Zürich Tiefenbrunnen- Zollikon- Küsnacht Goldbach- Küsnacht ZH- Erlenbach ZH- Winkel am Zürichsee- Herrliberg-Feldmeilen;43/44
S 16 19638;10:46;Zürich Flughafen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Zürich Flughafen;41/42
S 2 18239;10:47;Ziegelbrücke ;Zürich HB- Zürich Wiedikon- Zürich Enge- Thalwilâ€¢ Horgen- Wädenswil- Richterswil- Pfäffikon SZ- Siebnen-Wangen- Ziegelbrücke;31
S 12 19239;10:47;Winterthur Seen ;Zürich HB- Zürich Stadelhofen- Stettbach- Winterthur- Winterthur Grüze- Winterthur Seen;43/44
S 7 18738;10:49;Winterthur ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Opfikonâ€¢ Kloten Balsberg- Kloten- Bassersdorf- Effretikon- Kemptthal- Winterthur;41/42
S 14 19438;10:49;Affoltern am Albis ;Zürich HB- Zürich Altstetten- Urdorf- Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis;32
S 19 19939;10:49;Effretikon ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikon- Effretikon;34
S 24 20439;10:51;Zug ;Zürich HB- Zürich Wiedikon- Zürich Enge- Zürich Wollishofenâ€¢ Kilchberg- Rüschlikon- Thalwil- Horgen Oberdorf- Baar- Zug;4
IR 2065;10:52;Zürich Flughafen ;Zürich HB- Zürich Oerlikon- Zürich Flughafen;33
S 15 19538;10:52;Niederweningen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Glattbruggâ€¢ Rümlang- Oberglatt- Dielsdorf- SchÃ¶fflisdorf-Oberweningen- Niederweningen Dorf- Niederweningen;41/42
IR 2366;10:55;Bern ;Zürich HB- Olten- Langenthal- Herzogenbuchsee- Burgdorf- Bern;18
S 5 18539;10:55;Pfäffikon SZ ;Zürich HB- Zürich Stadelhofen- Uster- Wetzikon- Bubikon- Rüti ZH- Jona- Rapperswil- Pfäffikon SZ;43/44
S 8 18838;10:55;Weinfelden ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikonâ€¢ Effretikon- Winterthur- Oberwinterthur- Wiesendangen- Frauenfeld- Weinfelden;34
S 10 24783;10:55;Zürich Triemli;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli;22-Zürich HB SZU
S 9 18939;10:58;Uster ;Zürich HB- Zürich Stadelhofen- Stettbach- Dübendorf- Schwerzenbach ZH- Nänikon-Greifensee- Uster;43/44
S 4 24483;10:58;Langnau-Gattikon;Zürich HB SZU- Zürich Selnau- Zürich Giesshübel- Zürich Saalsporthalleâ€¢ Zürich Brunau- Zürich Manegg- Zürich Leimbach- Sood-Oberleimbach- Adliswil- Langnau-Gattikon;21-Zürich HB SZU
S 3 18338;10:59;Aarau ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Schlierenâ€¢ Glanzenberg- Dietikon- Killwangen-Spreitenbach- Othmarsingen- Lenzburg- Aarau;41/42
EC 8;11:00;Hamburg-Altona ;Zürich HB- Basel SBB- Basel Bad Bf- Freiburg (Breisgau) Hbfâ€¢ Mannheim Hbf- KÃ¶ln Hbf- Düsseldorf Hbf- Dortmund Hbf- Hamburg Hbf- Hamburg-Altona;16
S 6 18639;11:00;Uetikon ;Zürich HB- Zürich Stadelhofen- Zürich Tiefenbrunnen- Zollikonâ€¢ Küsnacht Goldbach- Küsnacht ZH- Erlenbach ZH- Winkel am Zürichsee- Meilen- Uetikon;43/44
IR 2636;11:01;Zürich Flughafen ;Zürich HB- Zürich Oerlikon- Zürich Flughafen;6
S 6 18640;11:01;Baden ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Zürich Seebachâ€¢ Zürich Affoltern- Regensdorf-Watt- Buchs-Dällikon- Otelfingen Golfpark- Wettingen- Baden;41/42
IC 814;11:02;Brig ;Zürich HB- Bern- Thun- Spiez- Visp- Brig;31
ICN 518;11:03;GenÃ¨ve-AÃ©roport ;Zürich HB- Aarau- Olten- Solothurnâ€¢ Biel/Bienne- NeuchÃ¢tel- Yverdon-les-Bains- Morges- GenÃ¨ve- GenÃ¨ve-AÃ©roport;14
S 3 18341;11:03;Wetzikon ;Zürich HB- Zürich Stadelhofen- Stettbach- Dietlikonâ€¢ Effretikon- Illnau- Fehraltorf- Pfäffikon ZH- Kempten- Wetzikon;43/44
IR 2641;11:04;Luzern ;Zürich HB- Thalwil- Zug- Luzern;5
